date_reported,continent,total_new_cases,total_new_deaths
8/2/2020,Africa,114522,2426
1/24/2021,Africa,184761,6293
4/18/2021,Africa,84133,2205
9/27/2020,Europe,349191,3425
10/4/2020,Europe,418902,3883
11/29/2020,Europe,1258411,34539
5/22/2022,Europe,1144516,3625
9/11/2022,Europe,756660,2720
2/20/2022,Europe,5170461,18155
5/10/2020,Europe,78328,10983
3/29/2020,Europe,199985,18723
7/12/2020,Europe,47235,1371
10/24/2021,Europe,1188367,12870
6/6/2021,Europe,252769,4418
6/21/2020,Europe,50830,2194
8/1/2021,Europe,682504,2186
1/24/2021,Europe,1246346,36417
7/3/2022,Europe,2694932,3498
10/16/2022,Europe,1784208,5093
5/17/2020,Europe,65360,7996
3/14/2021,Europe,1067484,17689
4/17/2022,Europe,2812250,7378
10/30/2022,Europe,1099323,4654
12/4/2022,Europe,1021212,3622
7/19/2020,Europe,55447,1206
9/19/2021,Europe,670814,6236
10/9/2022,Europe,1768841,4405
1/23/2022,Europe,9649442,16077
12/13/2020,Europe,1221125,33966
7/25/2021,Europe,756665,1742
8/16/2020,Europe,132803,1723
6/28/2020,Europe,48908,1664
4/10/2022,Europe,3467539,8289
4/18/2021,Europe,1105985,21708
2/27/2022,Europe,4087287,15194
10/11/2020,Europe,626318,5267
3/7/2021,Europe,956254,17106
3/28/2021,Europe,1379509,20368
4/11/2021,Europe,1158376,22735
11/1/2020,Europe,1670135,18134
4/12/2020,Europe,175314,28607
8/15/2021,Europe,704250,3133
12/5/2021,Europe,2391836,19612
1/10/2021,Europe,1597654,33130
1/16/2022,Europe,7849336,15432
3/22/2020,Europe,121235,8124
11/22/2020,Europe,1480478,33721
4/25/2021,Europe,977276,20106
12/19/2021,Europe,2545885,17465
2/16/2020,Europe,21,1
12/18/2022,Europe,1039426,4819
12/27/2020,Europe,1177684,30257
12/26/2021,Europe,3250280,15262
5/9/2021,Europe,644144,13664
1/31/2021,Europe,1088629,33366
6/14/2020,Europe,48294,2787
8/23/2020,Europe,160055,1582
9/12/2021,Europe,714775,5761
10/25/2020,Europe,1315822,11301
3/15/2020,Europe,45662,1947
11/6/2022,Europe,807819,3786
5/30/2021,Europe,303176,6256
6/19/2022,Europe,1432256,2568
7/4/2021,Europe,339968,2113
7/31/2022,Europe,1897682,6425
3/8/2020,Europe,9192,255
2/21/2021,Europe,784815,20130
6/13/2021,Europe,200804,4143
12/6/2020,Europe,1168031,34322
5/29/2022,Europe,856553,2899
10/2/2022,Europe,1476109,3385
4/19/2020,Europe,146079,25518
6/7/2020,Europe,46158,3439
8/22/2021,Europe,747536,4155
5/1/2022,Europe,1926324,5665
5/31/2020,Europe,50781,4506
6/20/2021,Europe,174270,2779
7/18/2021,Europe,747036,1270
3/6/2022,Europe,3946174,12675
2/13/2022,Europe,6926491,18779
3/1/2020,Europe,1493,29
3/27/2022,Europe,5165569,9670
9/18/2022,Europe,904336,2611
8/8/2021,Europe,668769,2698
6/26/2022,Europe,2026589,2887
11/13/2022,Europe,753265,3455
8/29/2021,Europe,758474,4536
10/23/2022,Europe,1524952,5262
5/8/2022,Europe,1548896,4956
12/20/2020,Europe,1332202,34426
9/6/2020,Europe,220925,1953
2/23/2020,Europe,99,3
8/30/2020,Europe,188056,1791
4/5/2020,Europe,196498,26804
9/26/2021,Europe,695295,6414
7/10/2022,Europe,3107206,4257
9/25/2022,Europe,1067562,2735
1/3/2021,Europe,1348201,31707
3/21/2021,Europe,1226479,18759
12/12/2021,Europe,2309226,18885
2/2/2020,Europe,19,4
8/2/2020,Europe,88352,1284
5/16/2021,Europe,500889,10803
5/23/2021,Europe,415613,8092
6/27/2021,Europe,203257,2520
11/27/2022,Europe,900384,3327
1/2/2022,Europe,5466556,14714
2/14/2021,Europe,775958,23969
8/14/2022,Europe,1144081,5106
2/28/2021,Europe,889931,18051
10/18/2020,Europe,878417,7165
2/9/2020,Europe,54,1
11/8/2020,Europe,1760952,25546
10/10/2021,Europe,816944,8622
11/14/2021,Europe,1721604,18733
5/15/2022,Europe,1421550,4281
6/12/2022,Europe,1094279,2466
5/2/2021,Europe,808937,17124
3/20/2022,Europe,5122882,10113
7/17/2022,Europe,2956495,5555
11/20/2022,Europe,828046,3333
8/9/2020,Europe,107391,1479
10/3/2021,Europe,743668,7331
2/7/2021,Europe,914396,28614
5/24/2020,Europe,60093,5976
7/11/2021,Europe,527184,1547
6/5/2022,Europe,920781,2529
12/25/2022,Europe,906554,5563
11/28/2021,Europe,2294303,20062
1/26/2020,Europe,5,3
7/26/2020,Europe,71012,1218
5/3/2020,Europe,97133,14568
4/3/2022,Europe,4390162,8948
7/24/2022,Europe,2446726,6386
12/11/2022,Europe,1066307,4116
11/7/2021,Europe,1443642,17302
10/31/2021,Europe,1318126,14949
4/4/2021,Europe,1320624,21900
4/26/2020,Europe,124883,20282
1/17/2021,Europe,1416023,35524
9/5/2021,Europe,747262,5250
11/21/2021,Europe,2060407,20126
9/4/2022,Europe,772075,3229
9/13/2020,Europe,268128,2170
4/24/2022,Europe,2345150,6509
8/28/2022,Europe,868109,3714
1/30/2022,Europe,10411022,16801
1/9/2022,Europe,7359551,13963
9/20/2020,Europe,321263,3021
11/15/2020,Europe,1634018,30119
10/17/2021,Europe,941635,9902
8/21/2022,Europe,956461,4302
3/13/2022,Europe,4616096,10682
8/7/2022,Europe,1440266,5646
2/6/2022,Europe,9018195,18529
7/5/2020,Europe,45131,1563
5/22/2022,island,121,0
8/28/2022,island,437,5
11/7/2021,island,39,0
8/14/2022,island,867,6
3/20/2022,island,356,1
